"id","osm_id","name","highway","z_order","xy_start","xy_end","length","distance","speed","travel_time","daytime"
4,1,"Via Silvestro Centofanti","tertiary",0,"43.7189284,10.4122208","43.7200957,10.4118406","43.7200957,10.4118406",135,26,19,"evening"
5,2,"Via Giuseppe Garibaldi","tertiary",0,"43.7183882,10.4185568","43.7155623,10.4126274","43.7155623,10.4126274",580,35,60,"evening"
6,3,"Via Pietro Nenni","secondary",0,"43.7149728,10.4214977","43.7114958,10.4206545","43.7114958,10.4206545",393,31,46,"evening"
7,4,"Via Pietro Nenni","secondary",0,"43.7110589,10.420667","43.7149592,10.4216014","43.7149592,10.4216014",435,20,80,"evening"
8,5,"Via Vittorio Veneto","secondary",0,"43.7241501,10.4085276","43.7201804,10.4116774","534.985",532,23,82,"evening"
9,6,"Largo Concetto Marchesi","residential",0,"43.7147767,10.4154706","43.7150268,10.4185764","255.747",251,30,30,"evening"
10,7,"Lungarno Bruno Buozzi","tertiary",0,"43.7139021,10.4085214","43.7129728,10.4094426","43.7129728,10.4094426",130,26,18,"evening"
12,9,"Via Lucchese","tertiary",0,"43.7248799,10.4086442","43.7256677,10.4040832","381.417",382,39,35,"evening"
13,10,"Via Alessandro Volpi","secondary",0,"43.7194316,10.4203089","43.7205039,10.4215927","158.606",159,32,18,"evening"
17,14,"Via Gino Luzzato","secondary_dual_lane",0,"43.7185349,10.4195966","43.7149728,10.4214977","468.418",469,37,46,"evening"
18,15,"Via Gino Luzzato","secondary_dual_lane",0,"43.7149592,10.4216014","43.7189215,10.4201363","485.202",484,39,45,"evening"
29,26,"Via Filippo Buonarroti","tertiary",0,"43.719991,10.4073511","43.7227183,10.406856","313.618",315,30,38,"evening"
38,35,"Via San Giovanni Bosco","tertiary",0,"43.7187854,10.4104574","43.7189213,10.4192172","736.227",737,31,86,"evening"
39,36,"Via Angelo Battelli","residential",0,"43.7203783,10.4119035","43.7228517,10.413959","321.072",321,24,49,"evening"
44,41,"Via Santa Marta","tertiary",0,"43.7147755,10.4089727","43.7167974,10.4088015","231.275",228,23,35,"evening"
45,42,"Lungarno Mediceo","tertiary",0,"43.7162818,10.4021489","43.7139021,10.4085214","579.583",582,23,91,"evening"
48,45,"Via Alberto Paparelli","secondary",0,"43.723107,10.4150306","43.7244612,10.4099984","432.512",428,47,33,"evening"
57,54,"Via del Brennero","primary",0,"43.7244051,10.4084819","43.7231936,10.4033686","433.496",432,42,37,"evening"
69,66,"Via di Pratale","secondary",0,"43.7207928,10.4212975","43.7223211,10.4158478","470.947",472,40,42,"evening"
73,70,"Via Giuseppe Garibaldi","tertiary",0,"43.7155623,10.4126274","43.7147755,10.4089727","307.537",307,22,51,"evening"
75,72,"Via Lucchese","tertiary",0,"43.7256677,10.4040832","43.7248799,10.4086442","381.417",382,35,39,"evening"
77,74,"Via del Brennero","primary",0,"43.7231936,10.4033686","43.7244051,10.4084819","433.496",432,37,42,"evening"
79,76,"Via Filippo Buonarroti","tertiary",0,"43.7227183,10.406856","43.719991,10.4073511","313.618",315,28,40,"evening"
82,79,"Via Alberto Paparelli","secondary",0,"43.7244612,10.4099984","43.723107,10.4150306","432.512",428,42,37,"evening"
84,81,"Via Angelo Battelli","residential",0,"43.7228517,10.413959","43.7203783,10.4119035","321.072",321,28,41,"evening"
86,83,"Via Alessandro Volpi","secondary",0,"43.7194789,10.4203308","43.7205091,10.4215981","158.606",156,31,18,"evening"
92,89,"Largo Concetto Marchesi","residential",0,"43.7149967,10.4186284","43.7147767,10.4154706","255.747",258,24,39,"evening"
93,90,"Via Guido De Ruggiero","tertiary",0,"43.7135666,10.4279586","43.7148018,10.4228048","440.926",440,36,44,"evening"
95,92,"Via Guido De Ruggiero","tertiary",0,"43.7148018,10.4228048","43.7135666,10.4279586","440.926",440,33,48,"evening"
